date	day	month	year	asx
35748	14	11	1997	2479.1
35755	21	11	1997	2482.7
35762	28	11	1997	2465.1
35769	5	12	1997	2557.2
35776	12	12	1997	2494.0
35783	19	12	1997	2528.1
35790	26	12	1997	2554.7
35797	2	1	1998	2609.1
35804	9	1	1998	2603.1
35811	16	1	1998	2614.0
35818	23	1	1998	2623.3
35825	30	1	1998	2656.7
35832	6	2	1998	2656.1
35839	13	2	1998	2653.0
35846	20	2	1998	2645.1
35853	27	2	1998	2697.4
35860	6	3	1998	2667.6
35867	13	3	1998	2731.6
35874	20	3	1998	2775.2
35881	27	3	1998	2762.7
35888	3	4	1998	2770.8
35895	10	4	1998	2805.8
35902	17	4	1998	2867.5
35909	24	4	1998	2854.9
35916	1	5	1998	2804.2
35923	8	5	1998	2780.5
35930	15	5	1998	2765.8
35937	22	5	1998	2725.9
35944	29	5	1998	2715.7
35951	5	6	1998	2642.8
35958	12	6	1998	2571.7
35965	19	6	1998	2588.8
35972	26	6	1998	2609.9
35979	3	7	1998	2743.1
35986	10	7	1998	2747.9
35993	17	7	1998	2814.7
36000	24	7	1998	2745.5
36007	31	7	1998	2704.6
36014	7	8	1998	2599.0
36021	14	8	1998	2569.0
36028	21	8	1998	2635.0
36035	28	8	1998	2516.9
36042	4	9	1998	2504.0
36049	11	9	1998	2468.3
36056	18	9	1998	2539.9
36063	25	9	1998	2563.4
36070	2	10	1998	2532.3
36077	9	10	1998	2491.3
36084	16	10	1998	2511.4
36091	23	10	1998	2545.2
36098	30	10	1998	2647.3
36105	6	11	1998	2697.3
36112	13	11	1998	2681.3
36119	20	11	1998	2703.6
36126	27	11	1998	2771.3
36133	4	12	1998	2730.7
36140	11	12	1998	2730.0
36147	18	12	1998	2749.3
36154	25	12	1998	2764.0
36161	1	1	1999	2832.6
36168	8	1	1999	2856.3
36175	15	1	1999	2809.3
36182	22	1	1999	2848.4
36189	29	1	1999	2893.8
36196	5	2	1999	2911.9
36203	12	2	1999	2889.5
36210	19	2	1999	2924.3
36217	26	2	1999	2879.9
36224	5	3	1999	2902.5
36231	12	3	1999	2961.3
36238	19	3	1999	2984.5
36245	26	3	1999	2996.6
36252	2	4	1999	2973.4
36259	9	4	1999	3060.0
